"topics_label","topics","lecture_label","lecture_content_label","lecture_content"
"Boolean_data_type","http://dbpedia.org/resource/Boolean_data_type","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Safari","http://dbpedia.org/resource/Safari","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Clang","http://dbpedia.org/resource/Clang","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"String_instrument","http://dbpedia.org/resource/String_instrument","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Java_virtual_machine","http://dbpedia.org/resource/Java_virtual_machine","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Git","http://dbpedia.org/resource/Git","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Anaconda","http://dbpedia.org/resource/Anaconda","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Stanford_university","http://dbpedia.org/resource/Stanford_University","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Gnu_compiler_collection","http://dbpedia.org/resource/GNU_Compiler_Collection","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Modulo_operation","http://dbpedia.org/resource/Modulo_operation","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Microsoft_windows","http://dbpedia.org/resource/Microsoft_Windows","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Pythonidae","http://dbpedia.org/resource/Pythonidae","IS lecture One","IS_Lab_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/labs/IS_Lab_01"
"Information_extraction","http://dbpedia.org/resource/Information_extraction","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"English_language","http://dbpedia.org/resource/English_language","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Main_page","http://dbpedia.org/resource/Main_Page","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Refinitiv","http://dbpedia.org/resource/Refinitiv","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Uima","http://dbpedia.org/resource/UIMA","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Recommender_system","http://dbpedia.org/resource/Recommender_system","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Text_mining","http://dbpedia.org/resource/Text_mining","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Apache_solr","http://dbpedia.org/resource/Apache_Solr","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Information_retrieval","http://dbpedia.org/resource/Information_retrieval","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Textbook","http://dbpedia.org/resource/Textbook","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Mona_lisa","http://dbpedia.org/resource/Mona_Lisa","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Machine_learning","http://dbpedia.org/resource/Machine_learning","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Level_of_detail","http://dbpedia.org/resource/Level_of_detail","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Amazon_rainforest","http://dbpedia.org/resource/Amazon_rainforest","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"French_language","http://dbpedia.org/resource/French_language","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Ibm","http://dbpedia.org/resource/IBM","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Mohammad-taqi_bahar","http://dbpedia.org/resource/Mohammad-Taqi_Bahar","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Artificial_intelligence","http://dbpedia.org/resource/Artificial_intelligence","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
